molecule_chembl_id,target_chembl_id,canonical_smiles,standard_value,pIC50,assay_chembl_id,target_family,assay_type,compound_class,toxicity_risk,solubility_level,num_h_donors,num_h_acceptors,tpsa,num_rotatable_bonds,lipinski_compliant
CHEMBL1371,CHEMBL4481,O=c1[nH]c2cc(Cl)ccc2o1,14100.0,4.85078088734462,CHEMBL700501,"Nitric oxide synthase, inducible",B,Small Molecule,5,4,1.0,2.0,46.0,0.0,1
CHEMBL1371,CHEMBL4803,O=c1[nH]c2cc(Cl)ccc2o1,8700.0,5.060480747381382,CHEMBL878276,"Nitric-oxide synthase, endothelial",B,Small Molecule,1,5,1.0,2.0,46.0,0.0,1
CHEMBL1371,CHEMBL3568,O=c1[nH]c2cc(Cl)ccc2o1,50000.0,4.301029995663981,CHEMBL751929,"Nitric-oxide synthase, brain",B,Small Molecule,2,3,1.0,2.0,46.0,0.0,1
CHEMBL320417,CHEMBL267,COc1cccc(-c2cn(-c3ccc(CCO)cc3)c3ncnc(N)c23)c1,1150.0,5.939302159646388,CHEMBL805362,Tyrosine-protein kinase SRC,B,Small Molecule,1,1,2.0,6.0,86.19,5.0,1
CHEMBL3706662,CHEMBL267,Cc1ccc(-c2nn(-c3cccc(C(=O)NCCCP(=O)(O)CP(=O)(O)O)c3)c3ncnc(N)c23)cc1,400.0,6.3979400086720375,CHEMBL805362,Tyrosine-protein kinase SRC,B,Peptide,2,3,5.0,8.0,193.55,9.0,0
CHEMBL168538,CHEMBL1855,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3[nH]cnc3c2)c1,0.3,9.522878745280336,CHEMBL685984,Gonadotropin-releasing hormone receptor,B,Peptide,4,3,3.0,3.0,76.81,9.0,0
CHEMBL162399,CHEMBL204,N=C(N)N1CCC(C[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)CC1.O=C(O)C(F)(F)F,2500.0,5.6020599913279625,CHEMBL815805,Thrombin,B,Peptide,1,3,9.0,8.0,268.12,10.0,0
CHEMBL162399,CHEMBL1801,N=C(N)N1CCC(C[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)CC1.O=C(O)C(F)(F)F,869.0,6.060980223551334,CHEMBL764387,Plasminogen,B,Peptide,3,4,9.0,8.0,268.12,10.0,0
CHEMBL162399,CHEMBL209,N=C(N)N1CCC(C[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)CC1.O=C(O)C(F)(F)F,169.0,6.772113295386326,CHEMBL821311,Trypsin I,B,Peptide,4,1,9.0,8.0,268.12,10.0,0
CHEMBL163338,CHEMBL244,COC(=O)c1cccc(CS(=O)(=O)N[C@H](CC2CCN(C(=N)N)CC2)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)c1.O=C(O)C(F)(F)F,2.2,8.657577319177793,CHEMBL659606,Coagulation factor X,B,Peptide,2,2,9.0,10.0,294.42,11.0,0
CHEMBL163338,CHEMBL204,COC(=O)c1cccc(CS(=O)(=O)N[C@H](CC2CCN(C(=N)N)CC2)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)c1.O=C(O)C(F)(F)F,2500.0,5.6020599913279625,CHEMBL815805,Thrombin,B,Peptide,4,5,9.0,10.0,294.42,11.0,0
CHEMBL163338,CHEMBL1801,COC(=O)c1cccc(CS(=O)(=O)N[C@H](CC2CCN(C(=N)N)CC2)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)c1.O=C(O)C(F)(F)F,387.0,6.412289034981089,CHEMBL764387,Plasminogen,B,Peptide,3,5,9.0,10.0,294.42,11.0,0
CHEMBL163338,CHEMBL209,COC(=O)c1cccc(CS(=O)(=O)N[C@H](CC2CCN(C(=N)N)CC2)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)c1.O=C(O)C(F)(F)F,145.0,6.838631997765025,CHEMBL821311,Trypsin I,B,Peptide,4,3,9.0,10.0,294.42,11.0,0
